,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,GAMES_PLAYED_FLAG,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
269,Jerrelle Benimon,"Benimon, Jerrelle",2014,Y,203968,jerrelle_benimon,0,,,,0,,2014
270,Benoit Benjamin,"Benjamin, Benoit",1985,Y,104,benoit_benjamin,0,,,,0,,1999
271,Corey Benjamin,"Benjamin, Corey",1998,Y,1736,corey_benjamin,0,,,,0,,2002
272,Anthony Bennett,"Bennett, Anthony",2013,Y,203461,anthony_bennett,0,,,,0,,2016
273,Elmer Bennett,"Bennett, Elmer",1994,Y,1120,elmer_bennett,0,,,,0,,1996
274,Mario Bennett,"Bennett, Mario",1995,Y,712,mario_bennett,0,,,,0,,2002
275,Mel Bennett,"Bennett, Mel",1976,Y,76151,HISTADD_mel_bennett,0,,,,0,,1981
276,Tony Bennett,"Bennett, Tony",1992,Y,76148,HISTADD_tony_bennett,0,,,,0,,1994
277,Winston Bennett,"Bennett, Winston",1989,Y,76152,HISTADD_winston_bennett,0,,,,0,,1991
278,David Benoit,"Benoit, David",1991,Y,128,david_benoit,0,,,,0,,2000
279,Keith Benson,"Benson, Keith",2011,Y,202728,keith_benson,0,,,,0,,2011
280,Kent Benson,"Benson, Kent",1977,Y,76154,HISTADD_kent_benson,0,,,,0,,1987
281,Ben Bentil,"Bentil, Ben",2016,Y,1627791,ben_bentil,0,,,,0,,2016
282,Gene Berce,"Berce, Gene",1949,Y,76155,HISTADD_gene_berce,0,,,,0,,1949
283,Gary Bergen,"Bergen, Gary",1956,Y,76156,HISTADD_gary_bergen,0,,,,0,,1956
284,Ricky Berry,"Berry, Ricky",1988,Y,76157,HISTADD_ricky_berry,0,,,,0,,1988
285,Walter Berry,"Berry, Walter",1986,Y,76158,HISTADD_walter_berry,0,,,,0,,1988
286,Davis Bertans,"Bertans, Davis",2016,Y,202722,davis_bertans,0,,,,0,,2017
287,Del Beshore,"Beshore, Del",1978,Y,76159,HISTADD_del_beshore,0,,,,0,,1979
288,Travis Best,"Best, Travis",1995,Y,696,travis_best,0,,,,0,,2004
289,Patrick Beverley,"Beverley, Patrick",2012,Y,201976,patrick_beverley,1,HOU,Houston,rockets,1610612745,Rockets,2017
290,Sim Bhullar,"Bhullar, Sim",2014,Y,204021,sim_bhullar,0,,,,0,,2014
291,Al Bianchi,"Bianchi, Al",1956,Y,76160,HISTADD_al_bianchi,0,,,,0,,1965
292,Hank Biasatti,"Biasatti, Hank",1946,Y,76161,HISTADD_hank_biasatti,0,,,,0,,1946
293,Henry Bibby,"Bibby, Henry",1972,Y,76162,HISTADD_henry_bibby,0,,,,0,,1980
294,Mike Bibby,"Bibby, Mike",1998,Y,1710,mike_bibby,0,,,,0,,2011
295,Ed Biedenbach,"Biedenbach, Ed",1968,Y,76163,HISTADD_ed_biedenbach,0,,,,0,,1968
296,Andris Biedrins,"Biedrins, Andris",2004,Y,2740,andris_biedrins,0,,,,0,,2013
297,Don Bielke,"Bielke, Don",1955,Y,76164,HISTADD_don_bielke,0,,,,0,,1955
298,Bob Bigelow,"Bigelow, Bob",1975,Y,76165,HISTADD_bob_bigelow,0,,,,0,,1978
299,Chauncey Billups,"Billups, Chauncey",1997,Y,1497,chauncey_billups,0,,,,0,,2013
300,Dave Bing,"Bing, Dave",1966,Y,76166,HISTADD_dave_bing,0,,,,0,,1977
301,Joe Binion,"Binion, Joe",1986,Y,76167,HISTADD_joe_binion,0,,,,0,,1986
302,Khem Birch,"Birch, Khem",2017,Y,203920,khem_birch,0,,,,0,,2017
303,Jabari Bird,"Bird, Jabari",2017,Y,1628444,jabari_bird,0,,,,0,,2017
304,Jerry Bird,"Bird, Jerry",1958,Y,76168,HISTADD_jerry_bird,0,,,,0,,1958
305,Larry Bird,"Bird, Larry",1979,Y,1449,larry_bird,0,,,,0,,1991
306,Otis Birdsong,"Birdsong, Otis",1977,Y,76170,HISTADD_otis_birdsong,0,,,,0,,1988
307,Gale Bishop,"Bishop, Gale",1948,Y,76171,HISTADD_gale_bishop,0,,,,0,,1948
308,Bismack Biyombo,"Biyombo, Bismack",2011,Y,202687,bismack_biyombo,1,TOR,Toronto,raptors,1610612761,Raptors,2017
309,Nemanja Bjelica,"Bjelica, Nemanja",2015,Y,202357,nemanja_bjelica,1,MIN,Minnesota,timberwolves,1610612750,Timberwolves,2017
310,Uwe Blab,"Blab, Uwe",1985,Y,76172,HISTADD_uwe_blab,0,,,,0,,1989
311,Charlie Black,"Black, Charlie",1948,Y,76173,HISTADD_hawk_black,0,,,,0,,1951
312,Norman Black,"Black, Norman",1980,Y,76174,HISTADD_norman_black,0,,,,0,,1980
313,Tarik Black,"Black, Tarik",2014,Y,204028,tarik_black,1,LAL,Los Angeles,lakers,1610612747,Lakers,2017
314,Tom Black,"Black, Tom",1970,Y,76175,HISTADD_tom_black,0,,,,0,,1970
315,Rolando Blackman,"Blackman, Rolando",1981,Y,76176,HISTADD_rolando_blackman,0,,,,0,,1993
316,Alex Blackwell,"Blackwell, Alex",1992,Y,76180,HISTADD_alex_blackwell,0,,,,0,,1992
317,Cory Blackwell,"Blackwell, Cory",1984,Y,76177,HISTADD_cory_blackwell,0,,,,0,,1984
318,James Blackwell,"Blackwell, James",1994,Y,1806,james_blackwell,0,,,,0,,1994
319,Nate Blackwell,"Blackwell, Nate",1987,Y,76179,HISTADD_nate_blackwell,0,,,,0,,1987
320,DeJuan Blair,"Blair, DeJuan",2009,Y,201971,dejuan_blair,0,,,,0,,2015
321,Steve Blake,"Blake, Steve",2003,Y,2581,steve_blake,1,DET,Detroit,pistons,1610612765,Pistons,2015
322,Marqus Blakely,"Blakely, Marqus",2010,Y,202392,marqus_blakely,0,,,,0,,2010
323,Antonio Blakeney,"Blakeney, Antonio",2017,Y,1628469,antonio_blakeney,0,,,,0,,2017
324,Will Blalock,"Blalock, Will",2006,Y,200807,will_blalock,0,,,,0,,2006
325,George Blaney,"Blaney, George",1961,Y,76182,HISTADD_george_blaney,0,,,,0,,1961
326,Lance Blanks,"Blanks, Lance",1990,Y,76183,HISTADD_lance_blanks,0,,,,0,,1992
327,Ricky Blanton,"Blanton, Ricky",1992,Y,76184,HISTADD_ricky_blanton,0,,,,0,,1992
328,Andray Blatche,"Blatche, Andray",2005,Y,101154,andray_blatche,0,,,,0,,2013
329,Mookie Blaylock,"Blaylock, Mookie",1989,Y,302,mookie_blaylock,0,,,,0,,2001
330,Eric Bledsoe,"Bledsoe, Eric",2010,Y,202339,eric_bledsoe,1,PHX,Phoenix,suns,1610612756,Suns,2017
331,Leon Blevins,"Blevins, Leon",1950,Y,76186,HISTADD_leon_blevins,0,,,,0,,1950
332,John Block,"Block, John",1966,Y,76187,HISTADD_john_block,0,,,,0,,1975
333,Mike Bloom,"Bloom, Mike",1947,Y,76188,HISTADD_mike_bloom,0,,,,0,,1948
334,Corie Blount,"Blount, Corie",1993,Y,916,corie_blount,0,,,,0,,2003
335,Mark Blount,"Blount, Mark",2000,Y,1548,mark_blount,0,,,,0,,2008
336,Vander Blue,"Blue, Vander",2013,Y,203505,vander_blue,0,,,,0,,2017
337,Ray Blume,"Blume, Ray",1981,Y,76189,HISTADD_ray_blume,0,,,,0,,1981
338,Nelson Bobb,"Bobb, Nelson",1949,Y,76190,HISTADD_nelson_bobb,0,,,,0,,1952
339,Tony Bobbitt,"Bobbitt, Tony",2004,Y,2800,tony_bobbitt,0,,,,0,,2004
340,Arlen Bockhorn,"Bockhorn, Arlen",1958,Y,76191,HISTADD_bucky_bockhorn,0,,,,0,,1964
341,Tom Boerwinkle,"Boerwinkle, Tom",1968,Y,76192,HISTADD_tom_boerwinkle,0,,,,0,,1977
342,Keith Bogans,"Bogans, Keith",2003,Y,2586,keith_bogans,0,,,,0,,2013
343,Bogdan Bogdanovic,"Bogdanovic, Bogdan",2017,Y,203992,bogdan_bogdanovic,0,,,,0,,2017
344,Bojan Bogdanovic,"Bogdanovic, Bojan",2014,Y,202711,bojan_bogdanovic,1,BKN,Brooklyn,nets,1610612751,Nets,2017
345,Muggsy Bogues,"Bogues, Muggsy",1987,Y,177,muggsy_bogues,0,,,,0,,2000
346,Andrew Bogut,"Bogut, Andrew",2005,Y,101106,andrew_bogut,1,GSW,Golden State,warriors,1610612744,Warriors,2017
347,Etdrick Bohannon,"Bohannon, Etdrick",1997,Y,1564,etdrick_bohannon,0,,,,0,,2000
348,Manute Bol,"Bol, Manute",1985,Y,76195,HISTADD_manute_bol,0,,,,0,,1994
349,Bill Bolger,"Bolger, Bill",1953,Y,76196,HISTADD_bill_bolger,0,,,,0,,1953
350,Joel Bolomboy,"Bolomboy, Joel",2016,Y,1627762,joel_bolomboy,0,,,,0,,2017
