"gameids","away","home","awayscore","homescore"
"0021700627","Lakers","Mavericks",107,101
"0021700628","Kings","Clippers",105,126
"0021700629","Thunder","Hornets",101,91
"0021700630","Nets","Wizards",113,119
"0021700631","Warriors","Raptors",127,125
"0021700632","Pistons","Bulls",105,107
"0021700633","Nuggets","Spurs",80,112
"0021700634","Bucks","Heat",79,97
"0021700635","Pelicans","Knicks",123,118
"0021700636","Pacers","Suns",120,97
"0021700637","TrailBlazers","Timberwolves",103,120
"0021700638","Hornets","Pistons",118,107
"0021700639","Raptors","76ers",111,117
"0021700640","Bucks","Wizards",104,95
"0021700641","Spurs","Hawks",99,102
"0021700642","Knicks","Nets",119,104
"0021700643","Kings","Thunder",88,95
"0021700644","Heat","Bulls",111,119
"0021700645","Lakers","Grizzlies",114,123
"0021700646","Warriors","Cavaliers",118,108
"0021700647","Pacers","Jazz",109,94
"0021700648","Rockets","Clippers",102,113
"0021700649","Timberwolves","Magic",102,108
"0021700650","Pelicans","Celtics",116,113
"0021700651","Mavericks","Nuggets",102,105
"0021700652","Suns","TrailBlazers",111,118
"0021700653","Wizards","Hornets",109,133
"0021700654","Pelicans","Hawks",93,94
"0021700655","Spurs","Nets",100,95
"0021700656","Pistons","Raptors",91,96
"0021700657","Warriors","Bulls",119,112
"0021700658","Knicks","Grizzlies",99,105
"0021700659","Heat","Bucks",106,101
"0021700660","Lakers","Thunder",90,114
"0021700661","Jazz","Kings",120,105
"0021700662","Nuggets","Clippers",104,109
"0021700663","76ers","Celtics",89,80
"0021700664","Magic","Cavaliers",103,104
"0021700665","Timberwolves","Rockets",98,116
"0021700666","Pacers","TrailBlazers",86,100
"0021700667","Spurs","Raptors",83,86
"0021700668","Heat","Nets",95,101
"0021700669","Wizards","Pistons",122,112
"0021700670","Kings","Grizzlies",88,106
"0021700671","Suns","Nuggets",108,100
"0021700672","Knicks","Jazz",117,115
"0021700673","Pacers","Lakers",86,99
"0021700674","Thunder","Cavaliers",148,124
"0021700675","Bulls","Hawks",113,97
"0021700676","Heat","Hornets",106,105
"0021700677","Grizzlies","Pelicans",104,111
"0021700678","Bucks","76ers",94,116
"0021700679","Warriors","Rockets",108,116
"0021700680","Raptors","Timberwolves",109,115
"0021700681","Clippers","Jazz",113,125
"0021700682","Mavericks","TrailBlazers",108,117
"0021700683","Magic","Celtics",103,95
